Date,Category,Quantity,Revenue
2019-01-01,Electronics,43,21500.0
2019-01-01,Clothing,33,1650.0
2019-01-01,Home,19,2850.0
2019-01-01,Sports,47,5640.0
2019-01-02,Electronics,12,6000.0
2019-01-02,Clothing,25,1250.0
2019-01-02,Home,43,6450.0
2019-01-02,Sports,23,2760.0
2019-01-03,Electronics,27,13500.0
2019-01-03,Clothing,15,750.0
2019-01-03,Home,15,2250.0
2019-01-03,Sports,28,3360.0
2019-01-04,Electronics,40,20000.0
2019-01-04,Clothing,44,2200.0
2019-01-04,Home,28,4200.0
2019-01-04,Sports,7,840.0
2019-01-05,Electronics,26,13000.0
2019-01-05,Clothing,6,300.0
2019-01-05,Home,28,4200.0
2019-01-05,Sports,48,5760.0
2019-01-06,Electronics,34,17000.0
2019-01-06,Clothing,42,2100.0
2019-01-06,Home,6,900.0
2019-01-06,Sports,25,3000.0
2019-01-07,Electronics,37,18500.0
2019-01-07,Clothing,16,800.0
2019-01-07,Home,26,3900.0
2019-01-07,Sports,48,5760.0
2019-01-08,Electronics,29,14500.0
2019-01-08,Clothing,31,1550.0
2019-01-08,Home,46,6900.0
2019-01-08,Sports,32,3840.0
2019-01-09,Electronics,20,10000.0
2019-01-09,Clothing,19,950.0
2019-01-09,Home,48,7200.0
2019-01-09,Sports,7,840.0
2019-01-10,Electronics,41,20500.0
2019-01-10,Clothing,11,550.0
2019-01-10,Home,25,3750.0
2019-01-10,Sports,13,1560.0
2019-01-11,Electronics,43,21500.0
2019-01-11,Clothing,22,1100.0
2019-01-11,Home,8,1200.0
2019-01-11,Sports,29,3480.0
2019-01-12,Electronics,18,9000.0
2019-01-12,Clothing,13,650.0
2019-01-12,Home,30,4500.0
2019-01-12,Sports,6,720.0
2019-01-13,Electronics,24,12000.0
2019-01-13,Clothing,32,1600.0
2019-01-13,Home,11,1650.0
2019-01-13,Sports,48,5760.0
2019-01-14,Electronics,12,6000.0
2019-01-14,Clothing,39,1950.0
2019-01-14,Home,18,2700.0
2019-01-14,Sports,21,2520.0
2019-01-15,Electronics,40,20000.0
2019-01-15,Clothing,44,2200.0
2019-01-15,Home,8,1200.0
2019-01-15,Sports,6,720.0
2019-01-16,Electronics,10,5000.0
2019-01-16,Clothing,46,2300.0
2019-01-16,Home,8,1200.0
2019-01-16,Sports,33,3960.0
2019-01-17,Electronics,22,11000.0
2019-01-17,Clothing,30,1500.0
2019-01-17,Home,48,7200.0
2019-01-17,Sports,38,4560.0
2019-01-18,Electronics,14,7000.0
2019-01-18,Clothing,40,2000.0
2019-01-18,Home,18,2700.0
2019-01-18,Sports,35,4200.0
2019-01-19,Electronics,19,9500.0
2019-01-19,Clothing,12,600.0
2019-01-19,Home,18,2700.0
2019-01-19,Sports,27,3240.0
2019-01-20,Electronics,44,22000.0
2019-01-20,Clothing,25,1250.0
2019-01-20,Home,20,3000.0
2019-01-20,Sports,49,5880.0
2019-01-21,Electronics,22,11000.0
2019-01-21,Clothing,28,1400.0
2019-01-21,Home,30,4500.0
2019-01-21,Sports,29,3480.0
2019-01-22,Electronics,49,24500.0
2019-01-22,Clothing,45,2250.0
2019-01-22,Home,33,4950.0
2019-01-22,Sports,19,2280.0
2019-01-23,Electronics,49,24500.0
2019-01-23,Clothing,5,250.0
2019-01-23,Home,29,4350.0
2019-01-23,Sports,11,1320.0
2019-01-24,Electronics,13,6500.0
2019-01-24,Clothing,28,1400.0
2019-01-24,Home,5,750.0
2019-01-24,Sports,48,5760.0
2019-01-25,Electronics,12,6000.0
